"ACTIVE","ASSET","CBSA","CHARTER","COUNTY","ESTYMD","ID","NAME","OFFICES","STNAME","UNINUM","WEBADDR","ZIP"
1,296614,,"0","Nemaha","04/18/1882","4636","First Heritage Bank",5,"Kansas","3074","www.1hbank.com","66415"
1,161618,,"13329","Gray","05/21/1929","4638","The First National Bank in Cimarron",2,"Kansas","3076","www.fnbcimarron.com","67835"
1,130584,"Wichita, KS","0","Sumner","05/01/1886","4649","Conway Bank",4,"Kansas","3087","www.conwaybank.net","67031"
1,40513,,"0","Kingman","07/23/1925","4652","NINNESCAH VALLEY BANK",1,"Kansas","3090","http://www.nvalleybank.com","67035"
1,80223,,"9773","Lane","05/02/1888","4654","The First National Bank of Dighton",1,"Kansas","3091","http://www.fnbdighton.com","67839"
1,241030,"Coffeyville, KS","0","Montgomery","01/01/1881","4660","FirstOak Bank",5,"Kansas","3096","www.firstoakbank.com","67301"
1,184952,,"0","Greenwood","08/04/1904","4664","Home Bank and Trust Company",6,"Kansas","3098","http://www.homebank-trust.com","67045"
1,1424923,"Kansas City, MO-KS","8796","Leavenworth","01/01/1907","4666","Armed Forces Bank, National Association",15,"Kansas","3100","afbank.com","66027"
1,61587,,"11916","Marshall","03/02/1921","4668","First National Bank in Frankfort",1,"Kansas","3102","www.fnbfrankfortks.com","66427"
1,1022737,"Pittsburg, KS","13347","Crawford","07/01/1929","4673","GNBank, National Association",15,"Kansas","3105","www.gn-bank.com","66743"
1,224248,,"10789","Washington","01/01/1915","4678","The Citizens National Bank",7,"Kansas","3109","www.thecnb.bank","66943"
1,62961,"Topeka, KS","11822","Wabaunsee","09/20/1920","4683","Vista National Bank & Trust",1,"Kansas","3113","www.myvista.bank","66431"
1,89601,,"12384","Dickinson","01/01/1923","4690","The First National Bank of Hope",3,"Kansas","3118","https://www.fnbks.com","67451"
1,85888,,"0","Elk","08/30/1877","4693","The Howard State Bank, Howard, Kansas",4,"Kansas","3120","www.howardstatebank.com","67349"
1,1254749,"Hutchinson, KS","3180","Reno","05/02/1876","4697","The First National Bank of Hutchinson",8,"Kansas","3123","www.fnbhutch.bank","67501"
1,1411234,"Manhattan, KS","4284","Geary","01/01/1884","4702","Central National Bank",35,"Kansas","3126","www.centralnational.com","66441"
1,3779399,"Kansas City, MO-KS","0","Wyandotte","10/13/1933","4705","Security Bank of Kansas City",36,"Kansas","3128","www.securitybankkc.com","66101"
1,527592,,"0","Kingman","05/14/1886","4707","Citizens Bank of Kansas",11,"Kansas","3130","www.citizensbankofkansas.com","67068"
1,185535,"Kansas City, MO-KS","11798","Miami","08/10/1920","4722","The First National Bank of Louisburg",3,"Kansas","3142","go.ibankfirst.com","66053"
1,32822,,"7911","Marion","01/01/1905","4728","The Marion National Bank",1,"Kansas","3148","bankwithmnb.com","66861"
1,179655,,"0","Osborne","01/01/1909","4735","Southwind Bank",2,"Kansas","3153","southwindbank.com","67651"
1,815953,"Kansas City, MO-KS","0","Miami","09/06/1923","4746","First Option Bank",10,"Kansas","3163","http://www.firstoptionbank.com","66064"
1,107021,"Topeka, KS","0","Osage","04/03/1897","4752","The First Security Bank",4,"Kansas","3168","www.firstsecurityks.com","66524"
1,323759,,"3601","Phillips","01/01/1884","4756","First National Bank and Trust",6,"Kansas","3172","www.agbank.bank","67661"
1,314897,,"0","Stafford","01/01/1905","4766","SJN Bank of Kansas",8,"Kansas","3180","www.sjnbank.com","67576"
1,8473383,"Dallas-Fort Worth-Arlington, TX","4742","Dallas","05/24/1892","4767","Sunflower Bank, National Association",73,"Texas","3181","www.sunflowerbank.com","75225"
1,168646,,"8808","Scott","01/01/1902","4769","The First National Bank of Scott City",1,"Kansas","3183","http://www.fnbscott.com","67871"
1,60097,,"3855","Chautauqua","03/13/1874","4770","Elevate Bank, National Association",2,"Kansas","3184","www.elevate.bank","67361"
1,181833,,"0","Dickinson","07/01/1905","4773","The Solomon State Bank",3,"Kansas","3186","","67480"
1,85940,"Dodge City, KS","10161","Ford","02/18/1908","4774","The First National Bank of Spearville",1,"Kansas","3187","www.fnbspearville.com","67876"
1,244628,,"10971","Thayer","04/07/1917","4778","Western National Bank",12,"Nebraska","3191","www.mywnb.com","68327"
1,917944,,"8114","Hamilton","02/10/1906","4779","Dream First Bank, National Association",14,"Kansas","3192","www.dreamfirst.bank","67878"
1,2751411,"Wichita, KS","0","Sedgwick","05/21/1910","4789","Emprise Bank",33,"Kansas","3199","www.emprisebank.com","67202"
1,509097,"Manhattan, KS","0","Pottawatomie","01/01/1875","4791","Bank of the Flint Hills",8,"Kansas","3201","http://www.bankflinthills.com","66547"
1,86594,,"0","Washington","01/01/1883","4792","FNB Washington",1,"Kansas","3202","www.fnbwashington.com","66968"
1,98395,,"6101","Coffey","01/14/1902","4794","First National Bank of Kansas",3,"Kansas","3203","www.fnbofks.bank","66839"
1,115992,"Wichita, KS","0","Sumner","10/06/1906","4796","Bank of Commerce and Trust Company",5,"Kansas","3205","https://www.bankofcommerce.ws","67152"
1,6970742,"Wichita, KS","2782","Sedgwick","11/01/1876","4799","Intrust Bank, National Association",41,"Kansas","3208","http://www.intrustbank.com","67202"
1,513193,"Wichita, KS","12346","Sedgwick","01/01/1915","4801","Southwest National Bank",8,"Kansas","3210","www.southwestnb.com","67202"
1,6251146,"Easton, MD","25270","Talbot","06/01/1876","4832","Shore United Bank, National Association",40,"Maryland","3222","shoreunitedbank.com","21601"
1,328268,,"0","Bon Homme","11/01/1932","485","Security Bank Midwest",6,"South Dakota","352","www.sbmidwest.bank","57066"
1,2060785,,"0","Garrett","01/01/1900","4857","First United Bank & Trust",22,"Maryland","3235","https://www.mybank.com","21550"
1,77314,,"0","Conecuh","09/01/1932","49","Bank of Evergreen",1,"Alabama","30","www.thebankofevergreen.com","36401"
1,85877,,"0","Dewey","01/01/1919","492","Western Dakota Bank",2,"South Dakota","354","www.westerndakotabank.com","57656"
1,1769768,"Knoxville, TN","0","Knox","01/01/1910","4931","Mountain Commerce Bank",8,"Tennessee","3275","www.mcb.com","37919"
1,227357,"Knoxville, TN","0","Campbell","01/01/1917","4945","Peoples Bank of the South",3,"Tennessee","3288","www.peoplesbanksouth.com","37766"
1,937671,"McMinnville, TN","2221","Warren","10/30/1874","4952","The First National Bank of Middle Tennessee",11,"Tennessee","3295","www.fnbmt.com","37110"
1,357479,,"8039","Scott","01/01/1904","4958","The First National Bank of Oneida",4,"Tennessee","3300","www.fnboneida.com","37841"
1,350390,"Brookings, SD","0","Brookings","03/20/1926","496","BankStar Financial",3,"South Dakota","357","https://www.ebankstar.bank","57026"
1,220597,,"0","Bledsoe","09/30/1913","4960","First Farmers & Commercial Bank",4,"Tennessee","3302","www.ffandcb.com","37367"
1,2651069,"Dyersburg, TN","5263","Dyer","01/01/1889","4972","First Citizens National Bank",25,"Tennessee","3314","http://www.firstcnb.com","38024"
1,83572753,"Memphis, TN-MS-AR","0","Shelby","01/01/1864","4977","First Horizon Bank",421,"Tennessee","3319","www.firsthorizon.com","38103"
1,18922957,"Jackson, MS","0","Hinds","12/19/1889","4988","Trustmark Bank",182,"Mississippi","3327","www.trustmark.com","39201"
1,1794596,"Meridian, MS","7266","Lauderdale","01/01/1888","4993","The Citizens National Bank of Meridian",29,"Mississippi","3331","http://www.yourcnb.com","39301"
1,220292,,"0","Franklin","03/17/1908","50","Community Spirit Bank",6,"Alabama","31","www.communityspirit.bank","35582"
1,911006,"Oxford, MS","0","Lafayette","10/10/1910","5005","FNB Oxford Bank",6,"Mississippi","3341","www.fnboxford.com","38655"
1,515750,"Tupelo, MS","0","Pontotoc","01/01/1900","5006","First Choice Bank",6,"Mississippi","3342","https://www.firstchoice.bank","38863"
1,181818,,"0","Aurora","04/06/1910","501","Farmers and Merchants State Bank",2,"South Dakota","362","www.fmsbonline.com","57368"
1,476787,"Coldwater, MI","0","Branch","01/01/1909","5015","Century Bank and Trust",11,"Michigan","3345","www.centurybankandtrust.com","49036"
1,470995,,"13522","Cheboygan","01/24/1931","5018","Citizens National Bank of Cheboygan",10,"Michigan","3347","www.cnbismybank.com","49721"
